source_table,source_column,target_table,target_column
analysis_pfd,ind_wepay,business_entity_payment_profile_attribute,cms_subacct_enrolled
analysis_pfd,ind_bb,business_entity_payment_profile_attribute,businessbank_enrolled
analysis_pfd,ind_vcn,business_entity_payment_profile_attribute,vcn_payment_accepted
analysis_pfd,stp_partnershiplist,business_entity_payment_profile_attribute,product_segmentation_applicable
analysis_pfd,ind_decline,business_entity_payment_profile_attribute,stp_ind_decline
analysis_pfd,ind_cc,business_entity_payment_profile_attribute,jpmc_cc_payment_accepted
analysis_pfd,cc_receipts,business_entity_payment_profile_attribute,jpmc_cc_spend
analysis_pfd,cc_recency,business_entity_payment_profile_attribute,jpmc_cc_enrolled_years
analysis_pfd,cc_buyercount,business_entity_payment_profile_attribute,jpmc_cc_buyer_count
analysis_pfd,has_online_payments,business_entity_payment_profile_attribute,has_online_payments
analysis_pfd,throughput_usd,business_entity_payment_profile_attribute,scf_throughput_usd
analysis_pfd,avg_spread,business_entity_payment_profile_attribute,scf_avg_spread
analysis_pfd,avg_payment_terms,business_entity_payment_profile_attribute,scf_avg_payment_terms
analysis_pfd,rate_proposed,business_entity_payment_profile_attribute,scf_rate_proposed
analysis_pfd,rate_offered,business_entity_payment_profile_attribute,scf_rate_offered
analysis_pfd,esg_discount,business_entity_payment_profile_attribute,scf_esg_discount
analysis_pfd,technologies_used,business_entity_payment_profile_attribute,technologies
analysis_pfd,filter_do_not_campaign,restrictions,do_not_campaign
analysis_pfd,vendor_industry_lvl_1,business_entity_industry_classification,level-1
analysis_pfd,vendor_industry_lvl_2,business_entity_industry_classification,level-2
analysis_pfd,vendor_industry_lvl_3,business_entity_industry_classification,level-3
analysis_pfd,filter_trust,business_entity_industry_classification,trust
analysis_pfd,filter_realestate,business_entity_industry_classification,real_estate
analysis_pfd,filter_govt,business_entity_industry_classification,govt
analysis_pfd,filter_utilities,business_entity_industry_classification,utilities
analysis_pfd,filter_insurance,business_entity_industry_classification,insurance
analysis_pfd,filter_fi,business_entity_industry_classification,fi
analysis_pfd,visa_match_confidence,business_entity_card_association,match_confidence
analysis_pfd,visa_matched_level_ii,business_entity_card_association,matched_level_2
analysis_pfd,visa_matched_level_iii_summary,business_entity_card_association,matched_level_3_summary
analysis_pfd,visa_matched_level_iii_line_item,business_entity_card_association,matched_level_3_lineitem
analysis_pfd,visa_matched_fleet_ind,business_entity_card_association,matched_fleet_ind
analysis_pfd,visa_matched_data_quality,business_entity_card_association,matched_data_quality
analysis_pfd,visa_matched_mcc,business_entity_card_association,matched_mcc
analysis_pfd,ind_card_match,business_entity_card_association,ind_card_match
analysis_pfd,card_revenues,business_entity_card_revenues,card_revenue
